Row,rec_11,rec_12,rec_13,rec_14,rec_15
TRaining Percentage_40,81.8235945232792,83.1041585121844,82.5966218890618,87.0896578885269,88.0466753978639
TRaining Percentage_50,86.4647761494843,85.8152569022736,88.4358363881628,89.011365839473,90.916227605364
TRaining Percentage_60,86.3402893112141,87.8517893478042,87.3255220491073,90.8193820149763,92.0528133047674
TRaining Percentage_70,89.4518622987191,87.351359951342,90.3666044489483,91.8243481194224,93.672717094169
TRaining Percentage_80,88.2776269840855,89.1017868902246,90.9138769861342,92.5687227878635,93.9075306806535
