Row,pre_11,pre_12,pre_13,pre_14,pre_15
TRaining Percentage_40,84.6128315612339,84.8994920135744,86.4440655295273,88.0247996587427,90.9584290589893
TRaining Percentage_50,87.2673460902481,87.5425554743746,90.8660277711651,91.7517154564256,93.506839007111
TRaining Percentage_60,87.7831576777523,87.1192293453701,89.499299351149,92.6157637360442,93.5922832222433
TRaining Percentage_70,88.2083064162139,89.6819555724509,91.255637315219,93.815362216764,96.0050407471256
TRaining Percentage_80,90.5924889669644,89.6575551950818,90.9538623215333,94.1984017151352,96.78269986
