Row,Acc_11,Acc_12,Acc_13,Acc_14,Acc_15
TRaining Percentage_40,85.3683569343232,85.8766356210654,86.7804518821719,91.0975656233443,91.8002635482705
TRaining Percentage_50,90.2642280261079,90.8002176671698,92.5597842261687,93.5204641008283,94.7401844333046
TRaining Percentage_60,89.5351063367883,89.7271015513574,92.2792234030493,94.7513312117793,95.0116194699872
TRaining Percentage_70,91.9831578269678,90.2548584908438,92.1486973871369,95.3569498902901,95.7482379632668
TRaining Percentage_80,91.7542945984081,92.6897087074769,93.1037382108462,96.4849595768758,96.7116441840148
