Row,rec_11,rec_12,rec_13,rec_14,rec_15
TRaining Percentage_40,82.9077840842294,84.204454574867,83.6905343273645,88.2400822174783,89.209136770107
TRaining Percentage_50,87.6238709267853,88.9661822456602,89.6197224960214,90.2024907625607,92.131311236957
TRaining Percentage_60,87.5434223350708,89.073933509073,88.5410469978794,92.0788515554134,93.3277965277523
TRaining Percentage_70,88.6017406405295,90.7286623976279,91.6549098659474,93.1309885444004,95.0026056803886
TRaining Percentage_80,89.5824682274467,90.4169941387765,92.2518760924317,93.9275359862357,95.2831829529272
