Row,Acc_11,Acc_12,Acc_13,Acc_14,Acc_15,Acc_16
TRaining Percentage_40,68.8546078206522,63.1231781482919,72.1075814184783,83.3380855062112,82.3501109535,86.5561690967906
TRaining Percentage_50,74.431133988354,77.0644935675466,83.9576995248447,91.3930677484472,90.4060416280085,92.7005724002292
TRaining Percentage_60,75.0507480069876,72.804647189441,85.1194758097826,93.1744580520187,91.9622648996036,93.7993050880747
TRaining Percentage_70,73.5791647127329,73.1144541987578,86.1263485900621,95.2656553649068,94.594045809527,96.4923385715535
TRaining Percentage_80,78.9899441304503,93.5818542692702,95.6273550482842,96.9695939161491,94.0312836746987,97.5856815379106
