Row,rec_11,rec_12,rec_13,rec_14,rec_15,rec_16
TRaining Percentage_40,71.1790617955222,85.384509185745,87.7610146261342,88.894342470894,88.0230951115918,91.8757544869818
TRaining Percentage_50,76.4482771592591,87.6922468965638,84.7539895208913,90.6483660262658,89.2156585579283,92.9292820515645
TRaining Percentage_60,76.894820840408,89.5043211350738,89.2971248641477,92.2559232604456,90.8014461736674,93.8975667268565
TRaining Percentage_70,76.3589684290148,71.9828404176,86.6294729557799,94.5779503665074,92.3239558444405,96.177946543698
TRaining Percentage_80,72.2507666183087,81.2709488518229,86.0043118141423,96.6320512718604,93.92301994407,97.76269986
